Date,USRetail
3-Jan-00,1.312
10-Jan-00,1.304
17-Jan-00,1.318
24-Jan-00,1.354
31-Jan-00,1.355
7-Feb-00,1.364
14-Feb-00,1.394
21-Feb-00,1.443
28-Feb-00,1.458
6-Mar-00,1.539
13-Mar-00,1.566
20-Mar-00,1.569
27-Mar-00,1.549
3-Apr-00,1.543
10-Apr-00,1.516
17-Apr-00,1.486
24-Apr-00,1.478
1-May-00,1.461
8-May-00,1.495
15-May-00,1.531
22-May-00,1.566
29-May-00,1.579
5-Jun-00,1.599
12-Jun-00,1.664
19-Jun-00,1.711
26-Jun-00,1.691
3-Jul-00,1.661
10-Jul-00,1.63
17-Jul-00,1.586
24-Jul-00,1.562
31-Jul-00,1.514
7-Aug-00,1.504
14-Aug-00,1.489
21-Aug-00,1.508
28-Aug-00,1.521
4-Sep-00,1.568
11-Sep-00,1.598
18-Sep-00,1.599
25-Sep-00,1.586
2-Oct-00,1.563
9-Oct-00,1.541
16-Oct-00,1.578
23-Oct-00,1.588
30-Oct-00,1.584
6-Nov-00,1.565
13-Nov-00,1.562
20-Nov-00,1.55
27-Nov-00,1.549
4-Dec-00,1.526
11-Dec-00,1.49
18-Dec-00,1.462
25-Dec-00,1.453
1-Jan-01,1.446
8-Jan-01,1.465
15-Jan-01,1.513
22-Jan-01,1.511
29-Jan-01,1.5
5-Feb-01,1.483
12-Feb-01,1.515
19-Feb-01,1.489
26-Feb-01,1.471
5-Mar-01,1.457
12-Mar-01,1.453
19-Mar-01,1.444
26-Mar-01,1.445
2-Apr-01,1.482
9-Apr-01,1.54
16-Apr-01,1.61
23-Apr-01,1.658
30-Apr-01,1.665
7-May-01,1.739
14-May-01,1.748
21-May-01,1.724
28-May-01,1.739
4-Jun-01,1.715
11-Jun-01,1.688
18-Jun-01,1.644
25-Jun-01,1.583
2-Jul-01,1.52
9-Jul-01,1.484
16-Jul-01,1.459
23-Jul-01,1.44
30-Jul-01,1.428
6-Aug-01,1.419
13-Aug-01,1.434
20-Aug-01,1.467
27-Aug-01,1.523
3-Sep-01,1.579
10-Sep-01,1.562
17-Sep-01,1.564
24-Sep-01,1.522
1-Oct-01,1.455
8-Oct-01,1.393
15-Oct-01,1.351
22-Oct-01,1.307
29-Oct-01,1.277
5-Nov-01,1.249
12-Nov-01,1.224
19-Nov-01,1.208
26-Nov-01,1.168
3-Dec-01,1.149
10-Dec-01,1.136
17-Dec-01,1.101
24-Dec-01,1.113
31-Dec-01,1.137
7-Jan-02,1.152
14-Jan-02,1.152
21-Jan-02,1.146
28-Jan-02,1.142
4-Feb-02,1.157
11-Feb-02,1.148
18-Feb-02,1.157
25-Feb-02,1.157
4-Mar-02,1.185
11-Mar-02,1.262
18-Mar-02,1.328
25-Mar-02,1.382
1-Apr-02,1.412
8-Apr-02,1.454
15-Apr-02,1.446
22-Apr-02,1.446
29-Apr-02,1.435
6-May-02,1.437
13-May-02,1.431
20-May-02,1.439
27-May-02,1.429
3-Jun-02,1.433
10-Jun-02,1.417
17-Jun-02,1.419
24-Jun-02,1.425
1-Jul-02,1.433
8-Jul-02,1.423
15-Jul-02,1.435
22-Jul-02,1.451
29-Jul-02,1.447
5-Aug-02,1.437
12-Aug-02,1.435
19-Aug-02,1.434
26-Aug-02,1.444
2-Sep-02,1.436
9-Sep-02,1.437
16-Sep-02,1.442
23-Sep-02,1.436
30-Sep-02,1.455
7-Oct-02,1.48
14-Oct-02,1.481
21-Oct-02,1.499
28-Oct-02,1.485
4-Nov-02,1.489
11-Nov-02,1.48
18-Nov-02,1.451
25-Nov-02,1.423
2-Dec-02,1.408
9-Dec-02,1.404
16-Dec-02,1.407
23-Dec-02,1.443
30-Dec-02,1.484
6-Jan-03,1.487
13-Jan-03,1.496
20-Jan-03,1.502
27-Jan-03,1.515
3-Feb-03,1.569
10-Feb-03,1.649
17-Feb-03,1.701
24-Feb-03,1.699
3-Mar-03,1.726
10-Mar-03,1.752
17-Mar-03,1.768
24-Mar-03,1.732
31-Mar-03,1.692
7-Apr-03,1.673
14-Apr-03,1.639
21-Apr-03,1.618
28-Apr-03,1.6
5-May-03,1.556
12-May-03,1.534
19-May-03,1.539
26-May-03,1.528
2-Jun-03,1.514
9-Jun-03,1.53
16-Jun-03,1.558
23-Jun-03,1.537
30-Jun-03,1.528
7-Jul-03,1.53
14-Jul-03,1.563
21-Jul-03,1.566
28-Jul-03,1.558
4-Aug-03,1.576
11-Aug-03,1.611
18-Aug-03,1.668
25-Aug-03,1.787
1-Sep-03,1.786
8-Sep-03,1.758
15-Sep-03,1.739
22-Sep-03,1.686
29-Sep-03,1.635
6-Oct-03,1.617
13-Oct-03,1.611
20-Oct-03,1.612
27-Oct-03,1.584
3-Nov-03,1.577
10-Nov-03,1.547
17-Nov-03,1.54
24-Nov-03,1.554
1-Dec-03,1.533
8-Dec-03,1.519
15-Dec-03,1.509
22-Dec-03,1.528
29-Dec-03,1.521
5-Jan-04,1.552
12-Jan-04,1.603
19-Jan-04,1.637
26-Jan-04,1.664
2-Feb-04,1.66
9-Feb-04,1.681
16-Feb-04,1.69
23-Feb-04,1.73
1-Mar-04,1.758
8-Mar-04,1.78
15-Mar-04,1.767
22-Mar-04,1.785
29-Mar-04,1.8
5-Apr-04,1.822
12-Apr-04,1.827
19-Apr-04,1.853
26-Apr-04,1.853
3-May-04,1.884
10-May-04,1.979
17-May-04,2.055
24-May-04,2.104
31-May-04,2.092
7-Jun-04,2.075
14-Jun-04,2.029
21-Jun-04,1.981
28-Jun-04,1.965
5-Jul-04,1.939
12-Jul-04,1.959
19-Jul-04,1.971
26-Jul-04,1.948
2-Aug-04,1.93
9-Aug-04,1.92
16-Aug-04,1.917
23-Aug-04,1.926
30-Aug-04,1.909
6-Sep-04,1.893
13-Sep-04,1.889
20-Sep-04,1.908
27-Sep-04,1.959
4-Oct-04,1.98
11-Oct-04,2.035
18-Oct-04,2.077
25-Oct-04,2.074
1-Nov-04,2.076
8-Nov-04,2.045
15-Nov-04,2.014
22-Nov-04,1.992
29-Nov-04,1.989
6-Dec-04,1.956
13-Dec-04,1.893
20-Dec-04,1.861
27-Dec-04,1.838
3-Jan-05,1.824
10-Jan-05,1.837
17-Jan-05,1.863
24-Jan-05,1.896
31-Jan-05,1.953
7-Feb-05,1.952
14-Feb-05,1.941
21-Feb-05,1.948
28-Feb-05,1.969
7-Mar-05,2.04
14-Mar-05,2.098
21-Mar-05,2.149
28-Mar-05,2.194
4-Apr-05,2.258
11-Apr-05,2.321
18-Apr-05,2.28
25-Apr-05,2.279
2-May-05,2.277
9-May-05,2.231
16-May-05,2.206
23-May-05,2.169
30-May-05,2.141
6-Jun-05,2.159
13-Jun-05,2.173
20-Jun-05,2.204
27-Jun-05,2.257
4-Jul-05,2.268
11-Jul-05,2.369
18-Jul-05,2.36
25-Jul-05,2.333
1-Aug-05,2.335
8-Aug-05,2.41
15-Aug-05,2.592
22-Aug-05,2.654
29-Aug-05,2.653
5-Sep-05,3.117
12-Sep-05,3.002
19-Sep-05,2.835
26-Sep-05,2.851
3-Oct-05,2.975
10-Oct-05,2.896
17-Oct-05,2.775
24-Oct-05,2.652
31-Oct-05,2.528
7-Nov-05,2.424
14-Nov-05,2.342
21-Nov-05,2.247
28-Nov-05,2.2
5-Dec-05,2.191
12-Dec-05,2.228
19-Dec-05,2.255
26-Dec-05,2.241
2-Jan-06,2.281
9-Jan-06,2.371
16-Jan-06,2.366
23-Jan-06,2.382
30-Jan-06,2.402
6-Feb-06,2.388
13-Feb-06,2.331
20-Feb-06,2.286
27-Feb-06,2.298
6-Mar-06,2.373
13-Mar-06,2.408
20-Mar-06,2.548
27-Mar-06,2.542
3-Apr-06,2.631
10-Apr-06,2.727
17-Apr-06,2.828
24-Apr-06,2.96
1-May-06,2.966
8-May-06,2.955
15-May-06,2.992
22-May-06,2.938
29-May-06,2.913
5-Jun-06,2.937
12-Jun-06,2.951
19-Jun-06,2.917
26-Jun-06,2.914
3-Jul-06,2.979
10-Jul-06,3.017
17-Jul-06,3.033
24-Jul-06,3.048
31-Jul-06,3.05
7-Aug-06,3.083
14-Aug-06,3.047
21-Aug-06,2.971
28-Aug-06,2.893
4-Sep-06,2.777
11-Sep-06,2.67
18-Sep-06,2.549
25-Sep-06,2.429
2-Oct-06,2.36
9-Oct-06,2.31
16-Oct-06,2.274
23-Oct-06,2.255
30-Oct-06,2.264
6-Nov-06,2.246
13-Nov-06,2.278
20-Nov-06,2.285
27-Nov-06,2.292
4-Dec-06,2.342
11-Dec-06,2.34
18-Dec-06,2.366
25-Dec-06,2.387
1-Jan-07,2.382
8-Jan-07,2.354
15-Jan-07,2.28
22-Jan-07,2.216
29-Jan-07,2.213
5-Feb-07,2.237
12-Feb-07,2.287
19-Feb-07,2.341
26-Feb-07,2.428
5-Mar-07,2.551
12-Mar-07,2.605
19-Mar-07,2.623
26-Mar-07,2.655
2-Apr-07,2.753
9-Apr-07,2.848
16-Apr-07,2.922
23-Apr-07,2.917
30-Apr-07,3.017
7-May-07,3.097
14-May-07,3.143
21-May-07,3.258
28-May-07,3.25
4-Jun-07,3.2
11-Jun-07,3.122
18-Jun-07,3.057
25-Jun-07,3.029
2-Jul-07,3.005
9-Jul-07,3.026
16-Jul-07,3.092
23-Jul-07,3.005
30-Jul-07,2.926
6-Aug-07,2.888
13-Aug-07,2.821
20-Aug-07,2.832
27-Aug-07,2.796
3-Sep-07,2.84
10-Sep-07,2.862
17-Sep-07,2.835
24-Sep-07,2.86
1-Oct-07,2.838
8-Oct-07,2.821
15-Oct-07,2.813
22-Oct-07,2.873
29-Oct-07,2.921
5-Nov-07,3.06
12-Nov-07,3.158
19-Nov-07,3.148
26-Nov-07,3.147
3-Dec-07,3.113
10-Dec-07,3.053
17-Dec-07,3.05
24-Dec-07,3.032
31-Dec-07,3.104
7-Jan-08,3.159
14-Jan-08,3.119
21-Jan-08,3.07
28-Jan-08,3.03
4-Feb-08,3.03
11-Feb-08,3.011
18-Feb-08,3.092
25-Feb-08,3.18
3-Mar-08,3.212
10-Mar-08,3.273
17-Mar-08,3.332
24-Mar-08,3.31
31-Mar-08,3.339
7-Apr-08,3.381
14-Apr-08,3.438
21-Apr-08,3.557
28-Apr-08,3.653
5-May-08,3.663
12-May-08,3.771
19-May-08,3.84
26-May-08,3.986
2-Jun-08,4.026
9-Jun-08,4.09
16-Jun-08,4.134
23-Jun-08,4.131
30-Jun-08,4.146
7-Jul-08,4.165
14-Jul-08,4.164
21-Jul-08,4.118
28-Jul-08,4.01
4-Aug-08,3.935
11-Aug-08,3.864
18-Aug-08,3.794
25-Aug-08,3.738
1-Sep-08,3.733
8-Sep-08,3.701
15-Sep-08,3.887
22-Sep-08,3.772
29-Sep-08,3.687
6-Oct-08,3.543
13-Oct-08,3.213
20-Oct-08,2.974
27-Oct-08,2.718
3-Nov-08,2.462
10-Nov-08,2.284
17-Nov-08,2.132
24-Nov-08,1.952
1-Dec-08,1.87
8-Dec-08,1.758
15-Dec-08,1.716
22-Dec-08,1.71
29-Dec-08,1.67
5-Jan-09,1.737
12-Jan-09,1.835
19-Jan-09,1.898
26-Jan-09,1.89
2-Feb-09,1.944
9-Feb-09,1.978
16-Feb-09,2.016
23-Feb-09,1.963
2-Mar-09,1.988
9-Mar-09,1.993
16-Mar-09,1.964
23-Mar-09,2.014
30-Mar-09,2.097
6-Apr-09,2.09
13-Apr-09,2.104
20-Apr-09,2.112
27-Apr-09,2.102
4-May-09,2.129
11-May-09,2.29
18-May-09,2.36
25-May-09,2.485
1-Jun-09,2.572
8-Jun-09,2.673
15-Jun-09,2.722
22-Jun-09,2.743
29-Jun-09,2.695
6-Jul-09,2.666
13-Jul-09,2.584
20-Jul-09,2.519
27-Jul-09,2.557
3-Aug-09,2.61
10-Aug-09,2.7
17-Aug-09,2.691
24-Aug-09,2.682
31-Aug-09,2.667
7-Sep-09,2.642
14-Sep-09,2.632
21-Sep-09,2.607
28-Sep-09,2.554
5-Oct-09,2.523
12-Oct-09,2.543
19-Oct-09,2.626
26-Oct-09,2.727
2-Nov-09,2.746
9-Nov-09,2.72
16-Nov-09,2.684
23-Nov-09,2.694
30-Nov-09,2.684
7-Dec-09,2.689
14-Dec-09,2.655
21-Dec-09,2.645
28-Dec-09,2.662
4-Jan-10,2.718
11-Jan-10,2.804
18-Jan-10,2.793
25-Jan-10,2.76
1-Feb-10,2.717
8-Feb-10,2.707
15-Feb-10,2.664
22-Feb-10,2.709
1-Mar-10,2.756
8-Mar-10,2.804
15-Mar-10,2.841
22-Mar-10,2.87
29-Mar-10,2.851
5-Apr-10,2.877
12-Apr-10,2.909
19-Apr-10,2.911
26-Apr-10,2.901
3-May-10,2.95
10-May-10,2.958
17-May-10,2.918
24-May-10,2.842
31-May-10,2.784
7-Jun-10,2.78
14-Jun-10,2.756
21-Jun-10,2.795
28-Jun-10,2.809
5-Jul-10,2.779
12-Jul-10,2.771
19-Jul-10,2.775
26-Jul-10,2.801
2-Aug-10,2.788
9-Aug-10,2.835
16-Aug-10,2.798
23-Aug-10,2.759
30-Aug-10,2.736
6-Sep-10,2.735
13-Sep-10,2.772
20-Sep-10,2.775
27-Sep-10,2.747
4-Oct-10,2.784
11-Oct-10,2.871
18-Oct-10,2.887
25-Oct-10,2.87
1-Nov-10,2.861
8-Nov-10,2.917
15-Nov-10,2.944
22-Nov-10,2.931
29-Nov-10,2.912
6-Dec-10,3.013
13-Dec-10,3.035
20-Dec-10,3.037
27-Dec-10,3.106
3-Jan-11,3.124
10-Jan-11,3.142
17-Jan-11,3.158
24-Jan-11,3.163
31-Jan-11,3.155
7-Feb-11,3.185
14-Feb-11,3.193
21-Feb-11,3.243
28-Feb-11,3.435
7-Mar-11,3.572
14-Mar-11,3.621
21-Mar-11,3.617
28-Mar-11,3.65
4-Apr-11,3.737
11-Apr-11,3.843
18-Apr-11,3.896
25-Apr-11,3.932
2-May-11,4.014
9-May-11,4.018
16-May-11,4.014
23-May-11,3.904
30-May-11,3.848
6-Jun-11,3.833
13-Jun-11,3.767
20-Jun-11,3.708
27-Jun-11,3.631
4-Jul-11,3.634
11-Jul-11,3.695
18-Jul-11,3.736
25-Jul-11,3.754
1-Aug-11,3.766
8-Aug-11,3.73
15-Aug-11,3.662
22-Aug-11,3.638
29-Aug-11,3.682
5-Sep-11,3.727
12-Sep-11,3.715
19-Sep-11,3.657
26-Sep-11,3.568
3-Oct-11,3.492
10-Oct-11,3.476
17-Oct-11,3.533
24-Oct-11,3.52
31-Oct-11,3.511
7-Nov-11,3.482
14-Nov-11,3.495
21-Nov-11,3.427
28-Nov-11,3.368
5-Dec-11,3.35
12-Dec-11,3.346
19-Dec-11,3.29
26-Dec-11,3.317
2-Jan-12,3.358
9-Jan-12,3.441
16-Jan-12,3.451
23-Jan-12,3.45
30-Jan-12,3.5
6-Feb-12,3.542
13-Feb-12,3.584
20-Feb-12,3.652
27-Feb-12,3.78
5-Mar-12,3.849
12-Mar-12,3.884
19-Mar-12,3.923
26-Mar-12,3.973
2-Apr-12,3.996
9-Apr-12,3.997
16-Apr-12,3.98
23-Apr-12,3.929
30-Apr-12,3.889
7-May-12,3.849
14-May-12,3.814
21-May-12,3.773
28-May-12,3.728
4-Jun-12,3.671
11-Jun-12,3.629
18-Jun-12,3.589
25-Jun-12,3.494
2-Jul-12,3.415
9-Jul-12,3.469
16-Jul-12,3.485
23-Jul-12,3.554
30-Jul-12,3.568
6-Aug-12,3.702
13-Aug-12,3.779
20-Aug-12,3.803
27-Aug-12,3.837
3-Sep-12,3.903
10-Sep-12,3.907
17-Sep-12,3.939
24-Sep-12,3.889
1-Oct-12,3.866
8-Oct-12,3.914
15-Oct-12,3.886
22-Oct-12,3.756
29-Oct-12,3.638
5-Nov-12,3.563
12-Nov-12,3.518
19-Nov-12,3.497
26-Nov-12,3.505
3-Dec-12,3.463
10-Dec-12,3.419
17-Dec-12,3.324
24-Dec-12,3.328
31-Dec-12,3.369
7-Jan-13,3.373
14-Jan-13,3.377
21-Jan-13,3.386
28-Jan-13,3.427
4-Feb-13,3.604
11-Feb-13,3.677
18-Feb-13,3.812
25-Feb-13,3.851
4-Mar-13,3.826
11-Mar-13,3.779
18-Mar-13,3.764
25-Mar-13,3.746
1-Apr-13,3.714
8-Apr-13,3.676
15-Apr-13,3.611
22-Apr-13,3.603
29-Apr-13,3.587
6-May-13,3.602
13-May-13,3.665
20-May-13,3.729
27-May-13,3.704
3-Jun-13,3.705
10-Jun-13,3.715
17-Jun-13,3.689
24-Jun-13,3.645
1-Jul-13,3.567
8-Jul-13,3.563
15-Jul-13,3.706
22-Jul-13,3.751
29-Jul-13,3.716
5-Aug-13,3.701
12-Aug-13,3.633
19-Aug-13,3.622
26-Aug-13,3.623
2-Sep-13,3.678
9-Sep-13,3.658
16-Sep-13,3.619
23-Sep-13,3.567
30-Sep-13,3.499
7-Oct-13,3.441
14-Oct-13,3.43
21-Oct-13,3.435
28-Oct-13,3.372
4-Nov-13,3.343
11-Nov-13,3.274
18-Nov-13,3.298
25-Nov-13,3.372
2-Dec-13,3.353
9-Dec-13,3.35
16-Dec-13,3.321
23-Dec-13,3.351
30-Dec-13,3.409
6-Jan-14,3.411
13-Jan-14,3.406
20-Jan-14,3.376
27-Jan-14,3.375
3-Feb-14,3.372
10-Feb-14,3.388
17-Feb-14,3.457
24-Feb-14,3.52
3-Mar-14,3.553
10-Mar-14,3.584
17-Mar-14,3.619
24-Mar-14,3.622
31-Mar-14,3.651
7-Apr-14,3.67
14-Apr-14,3.725
21-Apr-14,3.758
28-Apr-14,3.788
5-May-14,3.761
12-May-14,3.746
19-May-14,3.743
26-May-14,3.75
2-Jun-14,3.765
9-Jun-14,3.749
16-Jun-14,3.76
23-Jun-14,3.778
30-Jun-14,3.778
7-Jul-14,3.753
14-Jul-14,3.712
21-Jul-14,3.671
28-Jul-14,3.617
4-Aug-14,3.595
11-Aug-14,3.582
18-Aug-14,3.549
25-Aug-14,3.532
1-Sep-14,3.536
8-Sep-14,3.534
15-Sep-14,3.485
22-Sep-14,3.432
29-Sep-14,3.434
6-Oct-14,3.382
13-Oct-14,3.292
20-Oct-14,3.205
27-Oct-14,3.139
3-Nov-14,3.077
10-Nov-14,3.025
17-Nov-14,2.978
24-Nov-14,2.907
1-Dec-14,2.864
8-Dec-14,2.767
15-Dec-14,2.643
22-Dec-14,2.496
29-Dec-14,2.392
5-Jan-15,2.308
12-Jan-15,2.232
19-Jan-15,2.157
26-Jan-15,2.133
2-Feb-15,2.154
9-Feb-15,2.276
16-Feb-15,2.358
23-Feb-15,2.415
2-Mar-15,2.556
9-Mar-15,2.57
16-Mar-15,2.537
23-Mar-15,2.538
30-Mar-15,2.531
6-Apr-15,2.499
13-Apr-15,2.494
20-Apr-15,2.57
27-Apr-15,2.656
4-May-15,2.749
11-May-15,2.776
18-May-15,2.827
25-May-15,2.857
1-Jun-15,2.863
8-Jun-15,2.863
15-Jun-15,2.918
22-Jun-15,2.895
29-Jun-15,2.885
6-Jul-15,2.877
13-Jul-15,2.92
20-Jul-15,2.888
27-Jul-15,2.833
3-Aug-15,2.779
10-Aug-15,2.72
17-Aug-15,2.803
24-Aug-15,2.726
31-Aug-15,2.602
7-Sep-15,2.532
14-Sep-15,2.471
21-Sep-15,2.425
28-Sep-15,2.418
5-Oct-15,2.415
12-Oct-15,2.432
19-Oct-15,2.374
26-Oct-15,2.326
2-Nov-15,2.322
9-Nov-15,2.335
16-Nov-15,2.281
23-Nov-15,2.198
30-Nov-15,2.165
7-Dec-15,2.159
14-Dec-15,2.144
21-Dec-15,2.133
28-Dec-15,2.141
4-Jan-16,2.135
11-Jan-16,2.104
18-Jan-16,2.022
25-Jan-16,1.965
1-Feb-16,1.932
8-Feb-16,1.87
15-Feb-16,1.834
22-Feb-16,1.837
29-Feb-16,1.887
7-Mar-16,1.943
14-Mar-16,2.062
21-Mar-16,2.109
28-Mar-16,2.169
4-Apr-16,2.185
11-Apr-16,2.173
18-Apr-16,2.24
25-Apr-16,2.265
2-May-16,2.342
9-May-16,2.325
16-May-16,2.345
23-May-16,2.403
30-May-16,2.44
6-Jun-16,2.482
13-Jun-16,2.499
20-Jun-16,2.455
27-Jun-16,2.432
4-Jul-16,2.396
11-Jul-16,2.359
18-Jul-16,2.336
25-Jul-16,2.289
1-Aug-16,2.267
8-Aug-16,2.256
15-Aug-16,2.256
22-Aug-16,2.299
29-Aug-16,2.341
5-Sep-16,2.329
12-Sep-16,2.31
19-Sep-16,2.333
26-Sep-16,2.334
3-Oct-16,2.354
10-Oct-16,2.381
17-Oct-16,2.367
24-Oct-16,2.353
31-Oct-16,2.341
7-Nov-16,2.345
14-Nov-16,2.298
21-Nov-16,2.269
28-Nov-16,2.268
5-Dec-16,2.321
12-Dec-16,2.347
19-Dec-16,2.375
26-Dec-16,2.419
2-Jan-17,2.485
9-Jan-17,2.496
16-Jan-17,2.467
23-Jan-17,2.436
30-Jan-17,2.408
6-Feb-17,2.405
13-Feb-17,2.418
20-Feb-17,2.414
27-Feb-17,2.427
6-Mar-17,2.452
13-Mar-17,2.434
20-Mar-17,2.433
27-Mar-17,2.428
3-Apr-17,2.471
10-Apr-17,2.534
17-Apr-17,2.546
24-Apr-17,2.559
1-May-17,2.522
8-May-17,2.484
15-May-17,2.481
22-May-17,2.51
29-May-17,2.516
5-Jun-17,2.525
12-Jun-17,2.479
19-Jun-17,2.433
26-Jun-17,2.404
3-Jul-17,2.376
10-Jul-17,2.411
17-Jul-17,2.392
24-Jul-17,2.426
31-Jul-17,2.467
7-Aug-17,2.492
14-Aug-17,2.497
21-Aug-17,2.474
28-Aug-17,2.513
4-Sep-17,2.794
11-Sep-17,2.8
18-Sep-17,2.75
25-Sep-17,2.701
2-Oct-17,2.682
9-Oct-17,2.622
16-Oct-17,2.605
23-Oct-17,2.594
30-Oct-17,2.602
6-Nov-17,2.673
13-Nov-17,2.706
20-Nov-17,2.683
27-Nov-17,2.648
4-Dec-17,2.617
11-Dec-17,2.601
18-Dec-17,2.568
25-Dec-17,2.589
1-Jan-18,2.637
8-Jan-18,2.639
15-Jan-18,2.673
22-Jan-18,2.684
29-Jan-18,2.723
5-Feb-18,2.753
12-Feb-18,2.724
19-Feb-18,2.676
26-Feb-18,2.666
5-Mar-18,2.679
12-Mar-18,2.677
19-Mar-18,2.716
26-Mar-18,2.764
2-Apr-18,2.817
9-Apr-18,2.811
16-Apr-18,2.863
23-Apr-18,2.914
30-Apr-18,2.961
7-May-18,2.96
14-May-18,2.949
21-May-18,2.999
28-May-18,3.039
4-Jun-18,3.018
11-Jun-18,2.989
18-Jun-18,2.958
25-Jun-18,2.913
2-Jul-18,2.924
9-Jul-18,2.937
16-Jul-18,2.943
23-Jul-18,2.911
30-Jul-18,2.924
6-Aug-18,2.93
13-Aug-18,2.921
20-Aug-18,2.9
27-Aug-18,2.906
3-Sep-18,2.903
10-Sep-18,2.912
17-Sep-18,2.921
24-Sep-18,2.923
1-Oct-18,2.947
8-Oct-18,2.984
15-Oct-18,2.961
22-Oct-18,2.925
29-Oct-18,2.896
5-Nov-18,2.84
12-Nov-18,2.773
19-Nov-18,2.7
26-Nov-18,2.63
3-Dec-18,2.544
10-Dec-18,2.511
17-Dec-18,2.46
24-Dec-18,2.413
31-Dec-18,2.358
7-Jan-19,2.329
14-Jan-19,2.338
21-Jan-19,2.34
28-Jan-19,2.343
4-Feb-19,2.341
11-Feb-19,2.361
18-Feb-19,2.4
25-Feb-19,2.471
4-Mar-19,2.502
11-Mar-19,2.549
18-Mar-19,2.625
25-Mar-19,2.701
1-Apr-19,2.77
8-Apr-19,2.826
15-Apr-19,2.912
22-Apr-19,2.926
29-Apr-19,2.972
6-May-19,2.983
13-May-19,2.954
20-May-19,2.939
27-May-19,2.909
3-Jun-19,2.893
10-Jun-19,2.821
17-Jun-19,2.759
24-Jun-19,2.741
1-Jul-19,2.798
8-Jul-19,2.827
15-Jul-19,2.86
22-Jul-19,2.833
29-Jul-19,2.798
5-Aug-19,2.772
12-Aug-19,2.71
19-Aug-19,2.684
26-Aug-19,2.661
2-Sep-19,2.651
9-Sep-19,2.638
16-Sep-19,2.64
23-Sep-19,2.741
30-Sep-19,2.737
7-Oct-19,2.742
14-Oct-19,2.727
21-Oct-19,2.735
28-Oct-19,2.692
4-Nov-19,2.702
11-Nov-19,2.711
18-Nov-19,2.688
25-Nov-19,2.672
2-Dec-19,2.667
9-Dec-19,2.652
16-Dec-19,2.627
23-Dec-19,2.621
30-Dec-19,2.658
6-Jan-20,2.665
13-Jan-20,2.657
20-Jan-20,2.625
27-Jan-20,2.595
3-Feb-20,2.546
10-Feb-20,2.511
17-Feb-20,2.518
24-Feb-20,2.555
2-Mar-20,2.514
9-Mar-20,2.468
16-Mar-20,2.343
23-Mar-20,2.217
30-Mar-20,2.103
6-Apr-20,2.022
13-Apr-20,1.951
20-Apr-20,1.91
27-Apr-20,1.87
4-May-20,1.883
11-May-20,1.941
18-May-20,1.969
25-May-20,2.049
1-Jun-20,2.064
8-Jun-20,2.123
15-Jun-20,2.185
22-Jun-20,2.216
29-Jun-20,2.26
6-Jul-20,2.265
13-Jul-20,2.283
20-Jul-20,2.275
27-Jul-20,2.265
3-Aug-20,2.266
10-Aug-20,2.256
17-Aug-20,2.256
24-Aug-20,2.272
31-Aug-20,2.311
7-Sep-20,2.302
14-Sep-20,2.274
21-Sep-20,2.259
28-Sep-20,2.259
5-Oct-20,2.262
12-Oct-20,2.257
19-Oct-20,2.24
26-Oct-20,2.234
2-Nov-20,2.204
9-Nov-20,2.188
16-Nov-20,2.202
23-Nov-20,2.194
30-Nov-20,2.211
7-Dec-20,2.246
14-Dec-20,2.247
21-Dec-20,2.311
28-Dec-20,2.33
4-Jan-21,2.336
11-Jan-21,2.403
18-Jan-21,2.464
25-Jan-21,2.478
1-Feb-21,2.495
8-Feb-21,2.548
15-Feb-21,2.588
22-Feb-21,2.717
1-Mar-21,2.796
8-Mar-21,2.857
15-Mar-21,2.94
22-Mar-21,2.954
29-Mar-21,2.941
5-Apr-21,2.945
12-Apr-21,2.939
19-Apr-21,2.945
26-Apr-21,2.962
3-May-21,2.981
10-May-21,3.051
17-May-21,3.118
24-May-21,3.112
31-May-21,3.119
7-Jun-21,3.128
14-Jun-21,3.161
21-Jun-21,3.153
28-Jun-21,3.185
5-Jul-21,3.216
12-Jul-21,3.227
19-Jul-21,3.247
26-Jul-21,3.232
2-Aug-21,3.256
9-Aug-21,3.269
16-Aug-21,3.272
23-Aug-21,3.243
30-Aug-21,3.237
6-Sep-21,3.273
13-Sep-21,3.262
20-Sep-21,3.28
27-Sep-21,3.271
4-Oct-21,3.285
11-Oct-21,3.36
18-Oct-21,3.416
25-Oct-21,3.476
1-Nov-21,3.484
8-Nov-21,3.505
15-Nov-21,3.495
22-Nov-21,3.493
29-Nov-21,3.478
6-Dec-21,3.44
13-Dec-21,3.414
20-Dec-21,3.395
27-Dec-21,3.375
3-Jan-22,3.381
10-Jan-22,3.394
17-Jan-22,3.404
24-Jan-22,3.421
31-Jan-22,3.464
7-Feb-22,3.538
14-Feb-22,3.581
21-Feb-22,3.624
28-Feb-22,3.701
7-Mar-22,4.196
14-Mar-22,4.414
21-Mar-22,4.343
28-Mar-22,4.334
4-Apr-22,4.274
11-Apr-22,4.196
18-Apr-22,4.17
25-Apr-22,4.211
2-May-22,4.285
9-May-22,4.428
16-May-22,4.591
23-May-22,4.694
30-May-22,4.727
6-Jun-22,4.977
13-Jun-22,5.107
20-Jun-22,5.066
27-Jun-22,4.979
4-Jul-22,4.879
11-Jul-22,4.754
18-Jul-22,4.599
